Genome-ID,Oral_Taxon-ID,Genus,Species,SubSpecies,Strain,No. Contigs,Total Length,MAG,Assembly Level,GC %,Genus_for_pathogen,is_pathogen
GCA_000988215.1,HMT-832,Corynebacterium,otitidis,,TD1,148,2144430,,Contig,71.28,corynebacterium,0
GCA_936919755.1,HMT-832,Corynebacterium,otitidis,,SRR3184092_bin.37_CONCOCT_v1.1_MAG,225,2128438,yes,Contig,71.34,corynebacterium,0
GCA_943912515.1,HMT-832,Corynebacterium,otitidis,,ykKrFY3FWv_bin.4.MAG,35,2138777,yes,Contig,71.48,corynebacterium,0
GCA_022346345.1,HMT-054,Corynebacterium,pilbarense,,ACRPU,48,2359061,,Contig,64.94,corynebacterium,0
GCA_026930265.1,HMT-054,Corynebacterium,pilbarense,,CCUG 57942,161,2436250,,Contig,64.17,corynebacterium,0
GCA_000375525.1,HMT-059,Corynebacterium,propinquum,,DSM 44285,22,2458635,,Contig,56.44,corynebacterium,0
GCA_001052555.1,HMT-059,Corynebacterium,propinquum,,1274_CJEI,68,2466773,,Contig,56.52,corynebacterium,0
GCA_001053555.1,HMT-059,Corynebacterium,propinquum,,143_CAUR,82,2521392,,Contig,56.46,corynebacterium,0
GCA_001054395.1,HMT-059,Corynebacterium,propinquum,,149_CJEI,67,2553120,,Contig,56.43,corynebacterium,0
GCA_003989165.1,HMT-059,Corynebacterium,propinquum,,HSID18036,245,2702312,,Contig,56.73,corynebacterium,0
GCA_003989475.1,HMT-059,Corynebacterium,propinquum,,HSID18035,78,2548974,,Contig,56.48,corynebacterium,0
GCA_007671985.1,HMT-059,Corynebacterium,propinquum,,DE0547,220,2628464,,Scaffold,56.2,corynebacterium,0
GCA_007672025.1,HMT-059,Corynebacterium,propinquum,,DE0530,58,2582419,,Scaffold,56.47,corynebacterium,0
GCA_016728625.1,HMT-059,Corynebacterium,propinquum,,FDAARGOS_1113,1,2461302,,Complete Genome,56.43,corynebacterium,0
GCA_016728665.1,HMT-059,Corynebacterium,propinquum,,FDAARGOS_1112,1,2480127,,Complete Genome,56.43,corynebacterium,0
GCA_022345925.1,HMT-059,Corynebacterium,propinquum,,ACRQS,33,2525869,,Contig,56.47,corynebacterium,0
GCA_023509315.1,HMT-059,Corynebacterium,propinquum,,PC1113,1,2514362,,Complete Genome,56.62,corynebacterium,0
GCA_025147045.1,HMT-059,Corynebacterium,propinquum,,p3-SID581,50,2509082,,Contig,56.36,corynebacterium,0
GCA_030175865.1,HMT-059,Corynebacterium,propinquum,,KPL4040,48,2535081,,Contig,56.41,corynebacterium,0
GCA_030175975.1,HMT-059,Corynebacterium,propinquum,,KPL3675,41,2512839,,Contig,56.46,corynebacterium,0
GCA_030176025.1,HMT-059,Corynebacterium,propinquum,,KPL2811,51,2543444,,Contig,56.39,corynebacterium,0
GCA_030176055.1,HMT-059,Corynebacterium,propinquum,,KPL2785,51,2462070,,Contig,56.48,corynebacterium,0
GCA_030176075.1,HMT-059,Corynebacterium,propinquum,,KPL3672,35,2443153,,Contig,56.48,corynebacterium,0
GCA_030176195.1,HMT-059,Corynebacterium,propinquum,,KPL2804,39,2486847,,Contig,56.53,corynebacterium,0
GCA_030176315.1,HMT-059,Corynebacterium,propinquum,,KPL3967,45,2510206,,Contig,56.44,corynebacterium,0
GCA_030176415.1,HMT-059,Corynebacterium,propinquum,,KPL3953,30,2507113,,Contig,56.47,corynebacterium,0
GCA_030176435.1,HMT-059,Corynebacterium,propinquum,,KPL3889,36,2540168,,Contig,56.46,corynebacterium,0
GCA_030176765.1,HMT-059,Corynebacterium,propinquum,,KPL2657,22,2455295,,Contig,56.49,corynebacterium,0
GCA_030176835.1,HMT-059,Corynebacterium,propinquum,,KPL2755,33,2526072,,Contig,56.42,corynebacterium,0
GCA_030176855.1,HMT-059,Corynebacterium,propinquum,,KPL2654,34,2539341,,Contig,56.5,corynebacterium,0
GCA_030228935.1,HMT-059,Corynebacterium,propinquum,,MSK124,34,2442739,,Scaffold,56.52,corynebacterium,0
GCA_030229105.1,HMT-059,Corynebacterium,propinquum,,MSK146,30,2429658,,Scaffold,56.51,corynebacterium,0
GCA_030229925.1,HMT-059,Corynebacterium,propinquum,,MSK290,25,2444083,,Contig,56.46,corynebacterium,0
GCA_030515635.1,HMT-059,Corynebacterium,propinquum,,CP11,1,2487883,,Complete Genome,56.62,corynebacterium,0
GCA_030515675.1,HMT-059,Corynebacterium,propinquum,,CP9,1,2538112,,Chromosome,56.56,corynebacterium,0
GCA_030515695.1,HMT-059,Corynebacterium,propinquum,,CP8,1,2525881,,Chromosome,56.56,corynebacterium,0
GCA_030515715.1,HMT-059,Corynebacterium,propinquum,,CP7,1,2538849,,Chromosome,56.56,corynebacterium,0
GCA_030515735.1,HMT-059,Corynebacterium,propinquum,,CP6,1,2539107,,Complete Genome,56.56,corynebacterium,0
GCA_030515755.1,HMT-059,Corynebacterium,propinquum,,CP5,1,2526008,,Chromosome,56.55,corynebacterium,0
GCA_030515775.1,HMT-059,Corynebacterium,propinquum,,CP4,1,2530919,,Chromosome,56.58,corynebacterium,0
GCA_030515795.1,HMT-059,Corynebacterium,propinquum,,CP3,1,2504442,,Chromosome,56.58,corynebacterium,0
GCA_030515815.1,HMT-059,Corynebacterium,propinquum,,CP2,1,2531501,,Chromosome,56.57,corynebacterium,0
GCA_030515835.1,HMT-059,Corynebacterium,propinquum,,CP1,1,2592346,,Chromosome,56.47,corynebacterium,0
GCA_902362995.1,HMT-059,Corynebacterium,propinquum,,MGYG-HGUT-00081,18,2504704,,Scaffold,56.56,corynebacterium,0
GCA_000466825.2,HMT-060,Corynebacterium,pseudodiphtheriticum,,90104,48,2328061,,Contig,55.31,corynebacterium,0
GCA_000477935.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,KPL1995,1,2313371,,Scaffold,55.35,corynebacterium,0
GCA_000477955.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,KPL1989,3,2317860,,Scaffold,55.35,corynebacterium,0
GCA_000688415.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,DSM 44287,13,2261008,,Contig,55.29,corynebacterium,0
GCA_001665955.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,EPI-003-04-2554_SCH2473622,85,2366960,,Contig,55.35,corynebacterium,0
GCA_003989225.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,HSID17576,28,2305392,,Contig,55.34,corynebacterium,0
GCA_003989245.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,HSID17564,66,2320839,,Contig,55.43,corynebacterium,0
GCA_003989305.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,HSID17260,54,2328440,,Contig,55.43,corynebacterium,0
GCA_003989375.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,HSID17241,39,2314806,,Contig,55.37,corynebacterium,0
GCA_003989495.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,HSID17575,29,2351912,,Contig,55.35,corynebacterium,0
GCA_022345865.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,ACRQT,23,2322325,,Contig,55.16,corynebacterium,0
GCA_023509255.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,CD1121,1,2374277,,Complete Genome,55.38,corynebacterium,0
GCA_023509275.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,PC1145,1,2402479,,Complete Genome,55.27,corynebacterium,0
GCA_023509295.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,PC1130,1,2362766,,Complete Genome,55.3,corynebacterium,0
GCA_025146235.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,p3-SID764,26,2300099,,Contig,55.3,corynebacterium,0
GCA_025146355.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,p3-SID763,29,2303143,,Contig,55.29,corynebacterium,0
GCA_028527665.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,SCPM-O-B-9665 (Don 6),30,2288602,,Contig,55.42,corynebacterium,0
GCA_028527685.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,SCPM-O-B-9664 (Don 5),30,2289230,,Contig,55.42,corynebacterium,0
GCA_028527725.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,SCPM-O-B-9663 (Don 4),13,2338775,,Contig,55.2,corynebacterium,0
GCA_028527745.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,SCPM-O-B-9662 (Don 2),31,2336943,,Contig,55.41,corynebacterium,0
GCA_028527805.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,SCPM-O-B-9433 (R11),18,2315239,,Contig,55.33,corynebacterium,0
GCA_028527825.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,SCPM-O-B-9432 (R9),33,2270638,,Contig,55.47,corynebacterium,0
GCA_028527845.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,SCPM-O-B-9431 (R7),19,2314591,,Contig,55.33,corynebacterium,0
GCA_030175855.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,KPL4066,23,2321312,,Contig,55.2,corynebacterium,0
GCA_030176095.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,KPL2915,40,2303459,,Contig,55.23,corynebacterium,0
GCA_030176115.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,KPL2795,23,2277387,,Contig,55.36,corynebacterium,0
GCA_030176135.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,KPL2865,29,2292906,,Contig,55.37,corynebacterium,0
GCA_030176155.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,KPL2640,31,2386815,,Contig,55.19,corynebacterium,0
GCA_030176215.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,KPL2834,30,2347199,,Contig,55.25,corynebacterium,0
GCA_030176235.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,KPL3772,42,2361786,,Contig,55.28,corynebacterium,0
GCA_030176275.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,KPL4041,24,2333586,,Contig,55.24,corynebacterium,0
GCA_030176295.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,KPL4025,19,2257563,,Contig,55.35,corynebacterium,0
GCA_030176355.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,KPL3833,37,2285471,,Contig,55.21,corynebacterium,0
GCA_030176395.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,KPL3966,17,2388561,,Contig,55.27,corynebacterium,0
GCA_030176535.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,KPL3702,24,2278091,,Contig,55.45,corynebacterium,0
GCA_030176595.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,KPL3770,34,2277291,,Contig,55.28,corynebacterium,0
GCA_030176615.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,KPL3671,29,2264130,,Contig,55.31,corynebacterium,0
GCA_030176635.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,KPL2667,24,2294966,,Contig,55.22,corynebacterium,0
GCA_030176655.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,KPL4010,31,2281882,,Contig,55.24,corynebacterium,0
GCA_030176675.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,KPL2826,20,2294246,,Contig,55.27,corynebacterium,0
GCA_030176715.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,KPL2733,30,2294956,,Contig,55.25,corynebacterium,0
GCA_030176735.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,KPL2621,28,2316762,,Contig,55.16,corynebacterium,0
GCA_030176795.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,KPL2773,33,2295525,,Contig,55.26,corynebacterium,0
GCA_030227205.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,MSK127,11,2384363,,Scaffold,55.24,corynebacterium,0
GCA_030227325.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,MSK080,37,2255576,,Scaffold,55.35,corynebacterium,0
GCA_030228805.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,MSK283,24,2334058,,Scaffold,55.3,corynebacterium,0
GCA_030229035.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,MSK305,27,2297976,,Scaffold,55.41,corynebacterium,0
GCA_030229145.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,MSK300,22,2425046,,Scaffold,55.29,corynebacterium,0
GCA_030229165.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,MSK223,14,2343960,,Scaffold,55.23,corynebacterium,0
GCA_030229185.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,MSK238,23,2346921,,Scaffold,55.34,corynebacterium,0
GCA_030229195.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,MSK172,28,2405178,,Scaffold,55.36,corynebacterium,0
GCA_030229305.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,MSK092,32,2278645,,Scaffold,55.24,corynebacterium,0
GCA_030229415.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,MSK168,29,2348004,,Scaffold,55.34,corynebacterium,0
GCA_030229425.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,MSK188,16,2447609,,Scaffold,55.25,corynebacterium,0
GCA_030229485.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,MSK141,20,2343838,,Scaffold,55.35,corynebacterium,0
GCA_030229515.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,MSK184,18,2390091,,Scaffold,55.27,corynebacterium,0
GCA_030229665.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,MSK110,29,2331903,,Scaffold,55.31,corynebacterium,0
GCA_030229785.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,MSK202,13,2308373,,Scaffold,55.33,corynebacterium,0
GCA_030229835.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,MSK198,20,2373608,,Scaffold,55.29,corynebacterium,0
GCA_030232045.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,MSK311,10,2307781,,Scaffold,55.33,corynebacterium,0
GCA_030232565.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,MSK037,33,2272229,,Scaffold,55.24,corynebacterium,0
GCA_030232605.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,MSK314,21,2344324,,Scaffold,55.35,corynebacterium,0
GCA_030232685.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,MSK164,14,2364133,,Scaffold,55.31,corynebacterium,0
GCA_030232785.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,MSK118,13,2307282,,Scaffold,55.36,corynebacterium,0
GCA_030232845.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,MSK166,29,2360727,,Scaffold,55.29,corynebacterium,0
GCA_030515655.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,CP10,1,2304546,,Chromosome,55.29,corynebacterium,0
GCA_030515855.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,CPD,1,2304556,,Complete Genome,55.29,corynebacterium,0
GCA_937875745.1,HMT-060,Corynebacterium,pseudodiphtheriticum,,SRR2077399_bin.31_CONCOCT_v1.1_MAG,51,2235438,yes,Contig,55.28,corynebacterium,0
GCA_001579275.1,HMT-062,Corynebacterium,simulans,,1B08,66,2653230,,Contig,59.23,corynebacterium,0
GCA_001586215.1,HMT-062,Corynebacterium,simulans,,PES1,1,2737971,,Complete Genome,59.01,corynebacterium,0
GCA_001586235.1,HMT-062,Corynebacterium,simulans,,Wattiau,1,2598702,,Complete Genome,59.26,corynebacterium,0
GCA_001807315.1,HMT-062,Corynebacterium,simulans,,HMSC06D04,43,2672576,,Scaffold,59.04,corynebacterium,0
GCA_001807365.1,HMT-062,Corynebacterium,simulans,,HMSC06G04,40,2627043,,Scaffold,59.1,corynebacterium,0
GCA_001807495.1,HMT-062,Corynebacterium,simulans,,HMSC08C04,41,2657712,,Scaffold,59.13,corynebacterium,0
GCA_002351405.1,HMT-062,Corynebacterium,simulans,,AH4003,39,2637705,,Scaffold,59.23,corynebacterium,0
GCA_022345825.1,HMT-062,Corynebacterium,simulans,,ACRQU,33,2639000,,Contig,59.21,corynebacterium,0
GCA_023148335.1,HMT-062,Corynebacterium,simulans,,EYE_769,23,2564029,,Scaffold,59.1,corynebacterium,0
GCA_030217125.1,HMT-062,Corynebacterium,simulans,,UMB3162,43,2646359,,Contig,59.22,corynebacterium,0
GCA_000833575.1,HMT-063,Corynebacterium,singulare,,IBS B52218,1,2830519,,Complete Genome,60.12,corynebacterium,0
GCA_001807225.1,HMT-063,Corynebacterium,singulare,,HMSC05E07,85,2797062,,Scaffold,59.98,corynebacterium,0
GCA_007666555.1,HMT-063,Corynebacterium,singulare,,DE0529,95,2888281,,Scaffold,59.93,corynebacterium,0
GCA_022346285.1,HMT-063,Corynebacterium,singulare,,ACRQV,54,2775595,,Contig,60.14,corynebacterium,0
GCA_024586525.1,HMT-063,Corynebacterium,singulare,,BF-R-2,37,2804100,,Scaffold,60.17,corynebacterium,0
GCA_000159135.1,HMT-072,Corynebacterium,striatum,,ATCC 6940,85,2828991,,Scaffold,60.9,corynebacterium,0
GCA_001053405.1,HMT-072,Corynebacterium,striatum,,1327_CAUR,94,2914153,,Scaffold,59.2,corynebacterium,0
GCA_001053435.1,HMT-072,Corynebacterium,striatum,,1329_CAUR,94,2905202,,Scaffold,59.21,corynebacterium,0
GCA_001055405.1,HMT-072,Corynebacterium,striatum,,587_CAUR,184,2784991,,Contig,59.43,corynebacterium,0
GCA_001058455.1,HMT-072,Corynebacterium,striatum,,797_CAUR,114,2743259,,Scaffold,59.39,corynebacterium,0
GCA_001059665.1,HMT-072,Corynebacterium,striatum,,962_CAUR,141,2834694,,Scaffold,59.35,corynebacterium,0
GCA_001059955.1,HMT-072,Corynebacterium,striatum,,963_CAUR,151,2830184,,Contig,59.34,corynebacterium,0
GCA_001076975.1,HMT-072,Corynebacterium,striatum,,542_CAUR,91,2829078,,Scaffold,59.32,corynebacterium,0
GCA_001807215.1,HMT-072,Corynebacterium,striatum,,HMSC05D08,85,2812770,,Scaffold,59.27,corynebacterium,0
GCA_001807295.1,HMT-072,Corynebacterium,striatum,,HMSC06C06,74,2652216,,Scaffold,59.41,corynebacterium,0
GCA_002156805.1,HMT-072,Corynebacterium,striatum,,KC-Na-01,3,2797692,,Complete Genome,59.05,corynebacterium,0
GCA_002775055.1,HMT-072,Corynebacterium,striatum,,2230,37,2898882,,Contig,59.4,corynebacterium,0
GCA_002775105.1,HMT-072,Corynebacterium,striatum,,2247,24,2875402,,Contig,59.36,corynebacterium,0
GCA_002803965.1,HMT-072,Corynebacterium,striatum,,215,1,2993983,,Complete Genome,59.2,corynebacterium,0
GCA_002804085.1,HMT-072,Corynebacterium,striatum,,216,1,3031488,,Complete Genome,59.02,corynebacterium,0
GCA_002865925.1,HMT-072,Corynebacterium,striatum,,2023,55,2820414,,Contig,59.25,corynebacterium,0
GCA_003202245.1,HMT-072,Corynebacterium,striatum,,2130,76,3052429,,Contig,59.38,corynebacterium,0
GCA_003202295.1,HMT-072,Corynebacterium,striatum,,2296,71,2861961,,Contig,59.37,corynebacterium,0
GCA_003202355.1,HMT-072,Corynebacterium,striatum,,2425,48,2847990,,Scaffold,59.41,corynebacterium,0
GCA_004138065.1,HMT-072,Corynebacterium,striatum,,WP1a,98,2824576,,Scaffold,59.25,corynebacterium,0
GCA_008042215.1,HMT-072,Corynebacterium,striatum,,LK14,36,2714795,,Contig,59.36,corynebacterium,0
GCA_008373895.1,HMT-072,Corynebacterium,striatum,,LK37,100,2824107,,Contig,59.45,corynebacterium,0
GCA_011682935.1,HMT-072,Corynebacterium,striatum,,CSc20,78,2981342,,Scaffold,59.13,corynebacterium,0
GCA_011682945.1,HMT-072,Corynebacterium,striatum,,NSCs20,76,2937252,,Scaffold,59.17,corynebacterium,0
GCA_011682965.1,HMT-072,Corynebacterium,striatum,,CSc27,79,2796099,,Scaffold,59.31,corynebacterium,0
GCA_011682985.1,HMT-072,Corynebacterium,striatum,,NSCs27,70,2788964,,Contig,59.29,corynebacterium,0
GCA_014610855.1,HMT-072,Corynebacterium,striatum,,1954,14,2840792,,Contig,59.27,corynebacterium,0
GCA_014610885.1,HMT-072,Corynebacterium,striatum,,2038,20,2841405,,Contig,59.27,corynebacterium,0
GCA_016403285.1,HMT-072,Corynebacterium,striatum,,FDAARGOS_1054,1,2952500,,Chromosome,59.07,corynebacterium,0
GCA_016728105.1,HMT-072,Corynebacterium,striatum,,FDAARGOS_1115,1,2904831,,Complete Genome,59.35,corynebacterium,0
GCA_016728205.1,HMT-072,Corynebacterium,striatum,,FDAARGOS_1116,1,2665682,,Complete Genome,59.45,corynebacterium,0
GCA_016889445.1,HMT-072,Corynebacterium,striatum,,FDAARGOS_1197,2,3004754,,Complete Genome,59.09,corynebacterium,0
GCA_022345785.1,HMT-072,Corynebacterium,striatum,,ACRQW,44,2735460,,Contig,59.38,corynebacterium,0
GCA_022835015.1,HMT-072,Corynebacterium,striatum,,CE91-St29,2,2766266,,Contig,59.19,corynebacterium,0
GCA_028527755.1,HMT-072,Corynebacterium,striatum,,SCPM-O-B-9438 (R546),99,2801090,,Contig,59.45,corynebacterium,0
GCA_030224605.1,HMT-072,Corynebacterium,striatum,,UMB6355,61,2596233,,Contig,59.41,corynebacterium,0
GCA_030231045.1,HMT-072,Corynebacterium,striatum,,MSK002,140,2934008,,Scaffold,59.15,corynebacterium,0
GCA_030232105.1,HMT-072,Corynebacterium,striatum,,MSK065,156,2977329,,Scaffold,59.31,corynebacterium,0
GCA_030232165.1,HMT-072,Corynebacterium,striatum,,MSK060,165,2913468,,Scaffold,59.29,corynebacterium,0
GCA_030232205.1,HMT-072,Corynebacterium,striatum,,MSK064,136,2893056,,Scaffold,59.18,corynebacterium,0
GCA_030232215.1,HMT-072,Corynebacterium,striatum,,MSK059,86,2636129,,Scaffold,59.33,corynebacterium,0
GCA_030232245.1,HMT-072,Corynebacterium,striatum,,MSK050,83,2686098,,Scaffold,59.44,corynebacterium,0
GCA_030232485.1,HMT-072,Corynebacterium,striatum,,MSK005,154,2818014,,Scaffold,59.32,corynebacterium,0
GCA_030232805.1,HMT-072,Corynebacterium,striatum,,MSK067,144,2837292,,Scaffold,59.26,corynebacterium,0
GCA_030844905.1,HMT-072,Corynebacterium,striatum,,821F,4,2808886,,Scaffold,59.54,corynebacterium,0
GCA_030844935.1,HMT-072,Corynebacterium,striatum,,821A,3,2993035,,Scaffold,59.46,corynebacterium,0
GCA_030844955.1,HMT-072,Corynebacterium,striatum,,640X,2,2868045,,Scaffold,59.26,corynebacterium,0
GCA_030844975.1,HMT-072,Corynebacterium,striatum,,719S,5,2980774,,Scaffold,59.46,corynebacterium,0
GCA_030844995.1,HMT-072,Corynebacterium,striatum,,391E,5,2998855,,Scaffold,59.46,corynebacterium,0
GCA_030845015.1,HMT-072,Corynebacterium,striatum,,824M,4,2933916,,Scaffold,59.53,corynebacterium,0
GCA_030845035.1,HMT-072,Corynebacterium,striatum,,600M,2,2921682,,Scaffold,59.49,corynebacterium,0
GCA_030845055.1,HMT-072,Corynebacterium,striatum,,708C,4,2921848,,Scaffold,59.5,corynebacterium,0
GCA_900447625.1,HMT-072,Corynebacterium,striatum,,NCTC9755,2,2784006,,Contig,59.33,corynebacterium,0
GCA_900447675.1,HMT-072,Corynebacterium,striatum,,NCTC764,3,2924414,,Contig,59.1,corynebacterium,0
GCA_900683645.1,HMT-072,Corynebacterium,striatum,,3012STDY7069329,7,2916518,,Contig,59.27,corynebacterium,0
GCA_902485235.1,HMT-072,Corynebacterium,striatum,,MGYG-HGUT-03375,57,2788808,,Contig,59.31,corynebacterium,0
GCA_947254015.1,HMT-072,Corynebacterium,striatum,,SRR17635770_bin.7_metaWRAP_v1.3_MAG,168,2660032,yes,Contig,59.38,corynebacterium,0
GCA_000156615.2,HMT-077,Corynebacterium,tuberculostearicum,,ATCC 33035,9,2601426,,Scaffold,59.55,corynebacterium,0
GCA_000175635.1,HMT-077,Corynebacterium,tuberculostearicum,,SK141,37,2372261,,Contig,60.01,corynebacterium,0
GCA_013408445.1,HMT-077,Corynebacterium,tuberculostearicum,,DSM 44922,1,2453172,,Contig,59.74,corynebacterium,0
GCA_016613425.1,HMT-077,Corynebacterium,tuberculostearicum,,CIP 102622,64,2488912,,Contig,59.79,corynebacterium,0
GCA_016728365.1,HMT-077,Corynebacterium,tuberculostearicum,,FDAARGOS_1117,1,2451854,,Complete Genome,59.74,corynebacterium,0
GCA_016894265.1,HMT-077,Corynebacterium,tuberculostearicum,,FDAARGOS_1198,1,2433964,,Chromosome,59.83,corynebacterium,0
GCA_022347225.1,HMT-077,Corynebacterium,tuberculostearicum,,CTNIH8,51,2470047,,Contig,59.62,corynebacterium,0
GCA_022347235.1,HMT-077,Corynebacterium,tuberculostearicum,,CTNIH3,60,2426471,,Contig,59.92,corynebacterium,0
GCA_022347335.1,HMT-077,Corynebacterium,tuberculostearicum,,CTNIH1,59,2401840,,Contig,59.99,corynebacterium,0
GCA_022347345.1,HMT-077,Corynebacterium,tuberculostearicum,,ACRPJ,49,2405762,,Contig,59.71,corynebacterium,0
GCA_022347385.1,HMT-077,Corynebacterium,tuberculostearicum,,CTNIH4,59,2435816,,Contig,59.88,corynebacterium,0
GCA_022347395.1,HMT-077,Corynebacterium,tuberculostearicum,,ACRPF,51,2344812,,Contig,59.89,corynebacterium,0
GCA_022347435.1,HMT-077,Corynebacterium,tuberculostearicum,,CTNIH5,71,2530226,,Contig,59.87,corynebacterium,0
GCA_030176495.1,HMT-077,Corynebacterium,tuberculostearicum,,KPL3807,42,2323810,,Contig,59.97,corynebacterium,0
GCA_030450175.1,HMT-077,Corynebacterium,tuberculostearicum,,CTNIH10,1,2448195,,Complete Genome,59.62,corynebacterium,0
GCA_030486705.1,HMT-077,Corynebacterium,tuberculostearicum,,P5_F2,30,2303461,,Contig,59.94,corynebacterium,0
GCA_030503715.1,HMT-077,Corynebacterium,tuberculostearicum,,CTNIH12,2,2387299,,Complete Genome,59.84,corynebacterium,0
GCA_000759055.1,HMT-184,Corynebacterium,tuscaniense,,DNF00037,82,2227780,,Contig,59.57,corynebacterium,0
GCA_002884935.1,HMT-184,Corynebacterium,tuscaniense,,UMB0792,44,2254903,,Scaffold,59.46,corynebacterium,0
GCA_008693065.1,HMT-184,Corynebacterium,tuscaniense,,CCUG 51321T,223,2263530,,Contig,59.41,corynebacterium,0
GCA_946222205.1,HMT-184,Corynebacterium,tuscaniense,,HhTKsAlsX1_bin.61.MAG,293,1906260,yes,Contig,59.33,corynebacterium,0
GCA_947252405.1,HMT-184,Corynebacterium,tuscaniense,,SRR17635632_bin.7_metaWRAP_v1.3_MAG,100,2101137,yes,Contig,59.43,corynebacterium,0
GCA_000069945.1,HMT-853,Corynebacterium,urealyticum,,DSM 7109,1,2369219,,Complete Genome,64.19,corynebacterium,0
GCA_000338095.1,HMT-853,Corynebacterium,urealyticum,,DSM 7111,1,2316065,,Complete Genome,64.24,corynebacterium,0
GCA_008180045.1,HMT-853,Corynebacterium,urealyticum,,VH4549,4,2402972,,Scaffold,64.4,corynebacterium,0
GCA_008180065.1,HMT-853,Corynebacterium,urealyticum,,VH5913,5,2315346,,Scaffold,64.4,corynebacterium,0
GCA_008244525.1,HMT-853,Corynebacterium,urealyticum,,VH3073,9,2303392,,Scaffold,64.46,corynebacterium,0
GCA_016127095.1,HMT-853,Corynebacterium,urealyticum,,FDAARGOS_996,1,2350935,,Complete Genome,64.14,corynebacterium,0
GCA_016127975.1,HMT-853,Corynebacterium,urealyticum,,FDAARGOS_994,1,2384218,,Complete Genome,64.14,corynebacterium,0
GCA_016403265.1,HMT-853,Corynebacterium,urealyticum,,FDAARGOS_995,1,2397283,,Chromosome,64.11,corynebacterium,0
GCA_900187235.1,HMT-853,Corynebacterium,urealyticum,,NCTC12011,1,2377532,,Complete Genome,64.16,corynebacterium,0
GCA_000263215.1,HMT-753,Cronobacter,sakazakii,,ES15,1,4268675,,Complete Genome,57.11,cronobacter,0
